,College Name,Choice Code :,Course Name :,GOPEN,GSC,GNTB,GOBC,LOPEN,LST,LOBC,EWS,GST,GNTA,LSC,GNTC,LNTA,PWD-O,LNTC,LNTD,DEF-O,LNTB,GNTD,MI,PWDR-SC,PWDR-OBC,DEFR-OBC
0,"1002 Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,93.32,90.00,88.95,93.11,92.00,83.11,91.26,89.16,,,,,,,,,,,,,,,
1,"1002 Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,93.32,90.68,87.53,92.80,95.84,,95.00,91.95,88.86,,,,,,,,,,,,,,
2,"1002 Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,91.26,90.37,,91.18,91.89,,91.63,90.63,,85.26,86.05,,,,,,,,,,,,
3,"1002 Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,91.39,87.79,,91.21,,83.83,90.22,87.94,,,,,,,,,,,,,,,
4,"1002 Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,86.84,83.06,,86.00,87.47,71.12,86.89,86.65,,,,78.82,76.06,71.06,,,,,,,,,
5,"1002 Government College of Engineering, Amravati (Government Autonomous)",100246610,Instrumentation Engineering,85.28,,,83.54,79.94,,,81.66,,,,,,,,,,,,,,,
6,"1002 Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,88.77,87.53,,88.32,85.90,,79.59,85.03,82.63,,,,,,,,,,,,,,
7,"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100550310,Food Technology,73.05,,,,86.00,,68.60,,,,,,,,,,,,,,,,
8,"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100551710,Oil and Paints Technology,74.35,,,69.65,65.39,,,76.17,,,,,,,,,,,,,,,
9,"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100552410,Paper and Pulp Technology,63.58,,,,,,,,,,,,,,,,,,,,,,
10,"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100552710,Petro Chemical Engineering,76.97,,,69.74,,,,64.05,,,,,,,,,,,,,,,
11,"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,86.58,85.47,,86.05,88.11,,86.26,87.32,80.37,85.21,84.37,77.11,,67.63,,65.63,72.00,,,,,,
12,"1012 Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,87.24,,,86.63,88.59,,85.43,84.95,67.60,,82.00,84.74,,,,,,,,,,,
13,"1012 Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,85.89,81.28,,84.44,87.22,,85.70,86.56,75.39,,85.28,84.94,78.17,83.44,,,,,,,,,
14,"1012 Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,84.06,82.47,,84.05,84.84,,84.63,81.65,77.65,,77.65,74.35,,,,,,,,,,,
15,"1012 Government College of Engineering,Yavatmal (Government)",101261210,Mechanical Engineering,82.46,80.82,,80.30,76.32,,67.74,81.49,68.15,,,72.72,,72.92,,,,,,,,,
16,"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124210,Computer Science and Engineering,88.34,85.20,,87.37,88.21,,88.16,86.20,,,,,,,,,,,,,,,
17,"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124610,Information Technology,86.13,,,,,,87.26,86.00,,78.86,,85.45,,,,,,,,,,,
18,"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110135610,Electrical Engg[Electronics and Power],88.33,77.89,,85.67,85.17,,,81.67,,,75.72,,,,,80.28,,,,,,,
19,"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110137210,Electronics and Telecommunication Engg,84.45,75.82,71.63,83.35,85.47,,85.29,79.82,,,73.06,,,,,,75.00,,,,,,
20,"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110161210,Mechanical Engineering,79.81,73.50,70.21,77.64,74.26,,,77.69,68.05,70.79,,69.59,,,,,,,,,,,
21,"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519110,Civil Engineering,84.53,79.21,73.94,82.84,85.65,69.95,84.26,67.00,75.00,79.53,76.84,76.95,,,,,57.05,,,,,,
22,"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110524210,Computer Science and Engineering,85.63,82.26,,84.86,87.32,,87.21,84.06,,75.13,79.83,,,,79.26,,81.05,,,,,,
23,"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110524610,Information Technology,84.29,79.31,82.23,83.84,84.46,,84.32,81.83,,,77.06,,,,,,,,,,,,
24,"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110526310,Artificial Intelligence (AI) and Data Science,80.21,75.11,,,,,80.11,78.33,,,,,,,,,,,71.88,,,,
25,"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110526510,Industrial IoT,76.42,70.97,,,,,77.05,72.95,,,,,,,,,,,,,,,
26,"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110537210,Electronics and Telecommunication Engg,80.63,77.29,,80.29,83.47,,83.00,78.06,,70.41,,,,,,,,,,,,,
27,"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110561210,Mechanical Engineering,77.54,74.97,,73.03,81.16,,,70.15,,,,,,,,,,,,,,,
28,"1107 P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,84.53,75.05,,80.53,,,87.68,67.11,68.11,,,,,73.84,,,67.45,,,,,,
29,"1107 P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati (Un-Aided)",110724210,Computer Science and Engineering,84.06,78.95,78.11,82.97,85.43,,85.05,81.31,71.03,,81.15,78.74,61.29,,,,77.74,,80.80,,,,
30,"1107 P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati (Un-Aided)",110729310,Electrical Engineering,83.39,83.33,,83.06,80.83,,79.32,75.28,74.32,,,,,,,,,,74.39,,,,
31,"1107 P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati (Un-Aided)",110737210,Electronics and Telecommunication Engg,78.24,,73.49,76.53,78.37,,,71.83,,,68.76,,,,68.71,,,,,,,,
32,"1107 P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati (Un-Aided)",110761210,Mechanical Engineering,73.31,69.47,,70.62,,,,,,,,72.72,,,,,,,,,,,
33,"1107 P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati (Un-Aided)",110799510,Artificial Intelligence and Data Science,79.00,74.39,,,80.37,,79.16,79.43,,,,,,,,,,,,,,,
34,"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111419110,Civil Engineering,80.42,78.79,,79.89,81.47,,80.53,72.16,67.37,,,,,,80.05,,,,,,,,
35,"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111424210,Computer Science and Engineering,82.97,80.80,,82.63,84.00,,83.66,79.35,,74.23,76.91,79.58,,,,,,,,,,,
36,"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111424610,Information Technology,82.16,79.20,,81.16,82.57,,82.23,78.29,,,74.97,,,,,,,,73.00,,,,
37,"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111437210,Electronics and Telecommunication Engg,77.65,75.00,,76.63,77.63,,76.71,68.17,,,,,,,,,,,,,,,
38,"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111461210,Mechanical Engineering,75.49,72.77,,74.00,,,,,,,,,,,,,,,,,,,
39,"1116 Shri Shivaji Education Society's College of Engineering and Technology, Akola (Un-Aided)",111619110,Civil Engineering,75.16,73.60,,70.42,75.00,,,,,,,,,,,,,,,,,,
40,"1116 Shri Shivaji Education Society's College of Engineering and Technology, Akola (Un-Aided)",111624210,Computer Science and Engineering,77.20,75.00,,76.69,77.71,,76.86,76.63,,,76.57,,,,,,,,76.58,,,,
41,"1116 Shri Shivaji Education Society's College of Engineering and Technology, Akola (Un-Aided)",111650710,Chemical Engineering,61.78,,,,80.33,,,,,,,,,,,,,,,,,,
42,"1116 Shri Shivaji Education Society's College of Engineering and Technology, Akola (Un-Aided)",111661210,Mechanical Engineering,50.60,,,,64.41,,,,,,,,,,,,,,,,,,
43,"1117 Janata Shikshan Prasarak Mandalâ€™s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111719110,Civil Engineering,56.38,,,,60.00,,,,,,,,,,,,,,,,,,
44,"1117 Janata Shikshan Prasarak Mandalâ€™s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111724210,Computer Science and Engineering,75.06,71.14,,71.76,72.69,,71.60,74.97,,,,,,,,,,,,,,,
45,"1117 Janata Shikshan Prasarak Mandalâ€™s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111735610,Electrical Engg[Electronics and Power],72.28,,,65.39,68.56,,,,,65.78,,,,,,,,,,,,,
46,"1117 Janata Shikshan Prasarak Mandalâ€™s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111799510,Artificial Intelligence and Data Science,74.17,,,66.37,68.44,,,69.37,,65.54,,,,,,,,,,,,,
47,"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali (Un-Aided)",111924210,Computer Science and Engineering,74.97,,,74.97,84.47,,77.77,72.34,,,,,,,,,,,,,,,
48,"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali (Un-Aided)",111924610,Information Technology,73.38,,,73.00,75.63,,,71.26,,,,,,,74.11,,,,,,,,
49,"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali (Un-Aided)",111937210,Electronics and Telecommunication Engg,71.12,,,69.75,73.18,,,,,,72.47,70.18,,,,,,,,,,,
50,"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali (Un-Aided)",111950710,Chemical Engineering,70.36,56.47,,65.82,71.72,,,73.50,,,,,,,,,,,61.78,,,,
51,"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali (Un-Aided)",111961210,Mechanical Engineering,60.00,,,,72.21,,,,,,,,,,,,,,,,,,
52,"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",112019110,Civil Engineering,65.06,,,,67.47,,,,,,,,,,,,,,,,,,
53,"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",112024210,Computer Science and Engineering,80.29,,,,81.77,,,,,,,,,,,,,,,79.31,,,
54,"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",112029310,Electrical Engineering,79.33,,,,76.17,,,,,,,,,,,,,,,,,,
55,"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",112037210,Electronics and Telecommunication Engg,82.24,,,,,,,,,,,,,,,,,,,,,,
56,"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",112050710,Chemical Engineering,68.33,,,,,,,,,,,,,,,,,,,,,,
57,"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",112061210,Mechanical Engineering,67.28,,,,,,,,,,,,,,,,,,,,,,
58,"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",112089310,Textile Engineering / Technology,67.50,,,,74.00,,,,,,,,,,,,,,,,,,
59,"1121 Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati (Un-Aided)",112124210,Computer Science and Engineering,78.51,76.82,,78.00,79.89,,,76.24,,,,,,,,,,,,,,,
60,"1121 Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati (Un-Aided)",112124610,Information Technology,77.47,75.85,,77.13,,,77.37,74.97,,,,,,,,,,,,,,,
61,"1121 Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati (Un-Aided)",112137210,Electronics and Telecommunication Engg,75.18,72.21,,75.00,75.89,,75.00,,,70.06,,,,,,,,,,,,,
62,"1121 Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati (Un-Aided)",112161210,Mechanical Engineering,65.54,64.97,,,,,,75.38,,,,,,,,,,,,,,,
63,"1123 Dr.Rajendra Gode Institute of Technology & Research, Amravati (Un-Aided)",112319110,Civil Engineering,75.53,69.11,,73.11,75.21,,73.21,,58.53,,69.16,,,,,,,,,,,,
64,"1123 Dr.Rajendra Gode Institute of Technology & Research, Amravati (Un-Aided)",112324210,Computer Science and Engineering,79.77,,74.06,78.63,81.05,72.06,,75.69,,,75.89,74.97,,,,,,,,,,,
65,"1123 Dr.Rajendra Gode Institute of Technology & Research, Amravati (Un-Aided)",112337210,Electronics and Telecommunication Engg,72.94,72.18,70.20,72.65,73.29,,73.16,68.41,,,,,,,,,,,,,,,
66,"1123 Dr.Rajendra Gode Institute of Technology & Research, Amravati (Un-Aided)",112361210,Mechanical Engineering,68.67,61.49,,66.62,,,,64.00,,,,,,,,,,,,,,,
67,"1125 Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (Un-Aided)",112519110,Civil Engineering,69.89,66.58,,59.22,62.55,,,,58.00,,,,,51.15,,,,,,,,,
68,"1125 Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (Un-Aided)",112524210,Computer Science and Engineering,76.91,69.26,,72.34,80.86,,73.49,73.92,,,,,,,,,,,,,,,
69,"1125 Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (Un-Aided)",112529310,Electrical Engineering,74.17,65.06,63.50,69.65,78.42,,72.72,,,,70.56,,,,,,,,,,,,
70,"1125 Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (Un-Aided)",112561210,Mechanical Engineering,73.23,64.39,69.13,67.59,61.88,,,,,56.35,,,,,,,,,,,,,
71,"1126 Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (Un-Aided)",112619110,Civil Engineering,71.53,68.05,71.05,68.26,68.79,,,60.00,,,66.95,,,,,,,,,,,,
72,"1126 Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (Un-Aided)",112624210,Computer Science and Engineering,77.85,77.64,,,,,81.14,71.49,,,,,,,,,,,,,,,
73,"1126 Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (Un-Aided)",112629310,Electrical Engineering,77.39,76.78,,73.83,77.11,,75.00,,75.22,,69.22,,,,70.16,,,,,,,,
74,"1126 Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (Un-Aided)",112637210,Electronics and Telecommunication Engg,84.94,,,77.06,,,,,,,64.53,,,,,,,,,,,,
75,"1126 Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (Un-Aided)",112661210,Mechanical Engineering,75.54,69.49,,72.62,63.82,,,,,72.26,,,,,,,,,,,,,
76,"1127 Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal (Un-Aided)",112719110,Civil Engineering,63.63,,,,76.26,,,,,,,,,,,,,,,,,,
77,"1127 Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal (Un-Aided)",112724510,Computer Engineering,74.97,70.46,,73.20,74.97,,74.06,66.00,67.25,,,,,80.50,,,,,,,,,
78,"1127 Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal (Un-Aided)",112729310,Electrical Engineering,75.00,73.44,,,75.00,,74.17,,72.18,,,,,,,,,,,,,,
79,"1127 Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal (Un-Aided)",112737210,Electronics and Telecommunication Engg,69.65,,,,,,73.37,,,,,,,,,,,,,,,,
80,"1127 Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal (Un-Aided)",112761210,Mechanical Engineering,68.05,65.59,,,,,,,,,,,,,,,,,,,,,
81,"1128 Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",112819110,Civil Engineering,79.32,70.37,,79.16,80.84,,,80.26,,,73.95,,,,72.89,,,,,,,,
82,"1128 Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",112824210,Computer Science and Engineering,83.84,80.00,,81.89,82.91,,,76.29,,,81.77,77.54,,,,,,,,,,,
83,"1128 Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",112824610,Information Technology,80.91,75.67,76.69,80.74,81.75,,81.14,74.97,,,75.66,71.95,,,,,,,,,,,
84,"1128 Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",112829310,Electrical Engineering,81.28,79.82,,80.22,81.50,,78.11,70.94,70.79,76.33,76.17,,,,,,,,,,,,
85,"1128 Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",112837210,Electronics and Telecommunication Engg,79.35,,,78.71,78.94,,,64.18,,,73.79,,,,,,,,,,,,
86,"1128 Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",112891210,Computer Science and Engineering(Data Science),78.86,77.54,,78.74,,,80.00,73.20,,,,,,,,,,,,,,,
87,"1130 Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (Un-Aided)",113019110,Civil Engineering,66.79,55.47,,,75.00,,,,,,72.74,,,,,,,,,,,,
88,"1130 Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (Un-Aided)",113024210,Computer Science and Engineering,72.69,,,,,,69.66,,,,,,,,,,,,,,,,
89,"1130 Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (Un-Aided)",113035610,Electrical Engg[Electronics and Power],64.32,58.00,,,76.00,,75.50,66.56,,,60.00,,,,,,,,,,,,
90,"1130 Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (Un-Aided)",113037210,Electronics and Telecommunication Engg,69.03,,,60.67,,,,,,,,,,,,,,,,,,,
91,"1130 Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (Un-Aided)",113061210,Mechanical Engineering,71.75,,68.21,67.85,,,,,,,,,,,,,,,,,,,
92,"1180 Sanmati Engineering College, Sawargaon Barde, Washim (Un-Aided)",118019110,Civil Engineering,62.58,56.73,,,63.39,,,68.32,,,,,,78.84,,,,,,,,,
93,"1180 Sanmati Engineering College, Sawargaon Barde, Washim (Un-Aided)",118024210,Computer Science and Engineering,71.94,63.83,,67.60,72.06,67.37,66.00,69.37,,70.94,70.29,63.07,,,,,,,64.00,,,,
94,"1180 Sanmati Engineering College, Sawargaon Barde, Washim (Un-Aided)",118026310,Artificial Intelligence (AI) and Data Science,50.50,,,,67.20,,,,,,,,,,,,,,,,,,
95,"1180 Sanmati Engineering College, Sawargaon Barde, Washim (Un-Aided)",118029310,Electrical Engineering,62.39,,,,71.39,,65.67,,,,69.22,,,,,,,,,,,,
96,"1180 Sanmati Engineering College, Sawargaon Barde, Washim (Un-Aided)",118061210,Mechanical Engineering,56.67,,,,,,,,,,,,,,,,,,,,,,
97,"1182 Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana (Un-Aided)",118219110,Civil Engineering,73.79,65.95,67.53,68.73,60.00,,,69.79,67.84,,,63.09,,73.84,,,,,,,,,
98,"1182 Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana (Un-Aided)",118224210,Computer Science and Engineering,75.28,74.97,71.77,73.95,77.61,,76.23,71.83,,,66.80,,,,,,,,,,,,
99,"1182 Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana (Un-Aided)",118229310,Electrical Engineering,75.44,70.53,,71.33,80.06,,72.11,,,,,,,,,,,,,,,,
100,"1182 Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana (Un-Aided)",118261210,Mechanical Engineering,81.03,75.64,,72.00,,,,67.09,75.38,,,69.44,,,,,,,,,,,
101,"1265 Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",126519110,Civil Engineering,64.89,,,,72.37,,71.74,75.16,,,,,,,,,,,,,,,
102,"1265 Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",126524210,Computer Science and Engineering,84.00,80.23,,82.11,83.94,,81.77,81.77,,,,,,,,,,,,,,,
103,"1265 Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",126524610,Information Technology,79.94,72.57,,79.66,79.49,,77.13,77.24,,,,,,,,,,,,,,,
104,"1265 Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",126535610,Electrical Engg[Electronics and Power],74.00,71.11,,73.39,71.72,,71.17,79.78,,,,,,,,,,,,,,,
105,"1265 Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",126537210,Electronics and Telecommunication Engg,71.12,70.94,,69.88,71.41,,71.25,70.47,,,,,,,,,,,,,,,
106,"1265 Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",126561210,Mechanical Engineering,71.90,,,69.54,,,,,,,,,,,,,,,,,,,
107,"1268 Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile (Un-Aided)",126819110,Civil Engineering,76.26,,,,69.70,,,,,,,,,,,,,,,,,,
108,"1268 Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile (Un-Aided)",126824210,Computer Science and Engineering,76.97,,,76.38,,,,,,,,,,,73.71,,,,,,,,
109,"1268 Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile (Un-Aided)",126835610,Electrical Engg[Electronics and Power],64.00,,,,,,,71.50,,,,,,,,,,,,,,,
110,"1268 Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile (Un-Aided)",126837210,Electronics and Telecommunication Engg,66.00,,,,73.00,,70.47,,,,,,,,,,,,,,,,
111,"1268 Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile (Un-Aided)",126861210,Mechanical Engineering,70.26,,,,,,,,,,,,,,,,,,,,,,
112,"1276 Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302 (Un-Aided)",127619110,Civil Engineering,66.95,,,,,,,,,,,,,,,,,,,,,,
113,"1276 Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302 (Un-Aided)",127624510,Computer Engineering,74.40,67.66,,72.91,73.37,,73.09,69.20,,69.77,67.43,72.69,,,,,,,,,,,
114,"1276 Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302 (Un-Aided)",127629310,Electrical Engineering,68.06,,,,70.72,,,,,,,,,,,,,,,,,,
115,"1276 Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302 (Un-Aided)",127661210,Mechanical Engineering,56.47,,,,,,,,,,,,,,,,,,,,,,
116,"2008 Government College of Engineering, Aurangabad (Government Autonomous)",200819110,Civil Engineering,92.05,,,92.00,91.21,,,91.42,88.68,,89.42,,,,,,,,89.95,,,,
117,"2008 Government College of Engineering, Aurangabad (Government Autonomous)",200824210,Computer Science and Engineering,92.60,88.51,,92.00,94.65,,,93.65,,86.17,85.59,,,,,,,,,,,,
118,"2008 Government College of Engineering, Aurangabad (Government Autonomous)",200824610,Information Technology,91.77,87.54,,91.18,92.24,,,92.53,,85.09,,,,,,87.81,,,,,,,
119,"2008 Government College of Engineering, Aurangabad (Government Autonomous)",200829310,Electrical Engineering,91.89,91.82,,91.59,92.53,,,95.82,84.17,,86.65,,,,,,,,,,,,
120,"2008 Government College of Engineering, Aurangabad (Government Autonomous)",200837210,Electronics and Telecommunication Engg,88.47,86.06,,88.06,90.18,,88.35,88.74,,83.65,83.35,80.82,,,,,,,,,,,
121,"2008 Government College of Engineering, Aurangabad (Government Autonomous)",200861210,Mechanical Engineering,89.44,86.46,84.41,88.97,88.35,,86.21,90.24,,,82.24,,,,,,,,,,,,
122,"2020 Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",202019110,Civil Engineering,91.32,87.42,,90.42,91.42,,90.47,91.00,,,,,89.11,,,,,,,,,,
123,"2020 Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",202024210,Computer Science and Engineering,91.00,89.76,,89.66,91.05,,89.71,90.46,81.20,,89.47,84.53,,78.86,,,83.89,,,,,,
124,"2020 Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",202024610,Information Technology,89.41,85.63,,89.37,,,89.49,89.83,78.35,,,,,,,,,,,,,,
125,"2020 Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",202029310,Electrical Engineering,91.40,89.88,,,,,88.63,89.28,,90.56,,,,,,,,,,,,,
126,"2020 Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",202037210,Electronics and Telecommunication Engg,87.83,82.42,79.76,86.79,88.82,,87.47,88.12,,,,,,,,,85.88,,80.80,,,,
127,"2020 Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",202046610,Instrumentation Engineering,86.47,82.18,,,85.59,,79.38,83.35,,,,,,,,,,,,,,,
128,"2020 Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",202050710,Chemical Engineering,88.53,,77.61,85.39,85.11,,85.06,83.44,,,75.00,,,,,,,,,,,,
129,"2020 Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",202060610,Production Engineering,82.18,79.33,,79.90,76.35,,76.12,83.18,,72.53,74.41,,,,,,,,,,,,
130,"2020 Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",202061210,Mechanical Engineering,88.88,,,86.56,84.15,,,84.94,70.29,,78.29,,,,,,,,,,,,
131,"2020 Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",202089610,Textile Technology,76.72,73.11,,74.22,88.60,,,,,,73.82,,,,,,,,,,,,
132,"2021 University Department of Chemical Technology, Aurangabad (University Department)",202150310,Food Technology,80.64,,,,69.18,,,,,,,,,,,,,,,,,,
133,"2021 University Department of Chemical Technology, Aurangabad (University Department)",202181610,Pharmaceutical and Fine Chemical Technology,73.03,,,,,,,72.41,,,,,,,,,,,,,,,
